document,class_name,class_index,dataset_type
eukaryotic translation effect attack,0,4,train
symbolic artificial intelligence artificial neural network resolution,3,3,train
decision procedure unitary linear cellular automata,8,6,train
present international conference environment natural resource management transition economy,0,4,train
determinant real effective exchange rate,4,9,train
efficient algorithm mine coherent pattern heterogeneous microarray,2,1,train
operational yield model development validation base remote sensing datum,0,4,train
advance boundary high network simulation distribute computing,3,3,train
bisimulation relation dynamical control system,5,2,train
evaluation heuristic model decision make comment,9,8,train
strategy accelerate deployment gasification base power generation carbon capture sequestration,7,7,train
make representation express imply,6,5,train
dirichlet mixture method improved detection weak significant protein sequence homology,2,1,train
ground state relativistic quantum,8,6,train
experimental mathematical physics,8,6,train
crude oil transmission study assessment social economic environmental impact result oil zone,7,7,train
large stock market price,4,9,train
artificial neural network document analysis recognition,3,3,train
law quantitative assessment work paper,4,9,train
evaluation tool automatic validation knowledge base software system,7,7,train
science pattern recognition perspective,3,3,train
cluster optimal leaf gene expression datum,2,1,train
trade market reform dairy sector,9,8,train
review fly ash synthetic aggregate,7,7,train
verification retrieve total infrared channel,7,7,train
impact soil water content landmine detection radar thermal infrared sensor detection technology mine target,0,4,train
large scale optimization distribute control system,5,2,train
monitor crop growth condition global water index remote sensing,0,4,train
electronic structure atom,7,7,train
integrated planning control system local feedback control policy,5,2,train
magnetic field nonlinear theory,8,6,train
science site plan,1,0,train
national information infrastructure high performance computer industry,9,8,train
communicate neural network knowledge agent simulate aerial system,3,3,train
safety relevant mode model reduce,5,2,train
modularity learning organization,3,3,train
method continuous time financial econometric,4,9,train
topological theory manifold,8,6,train
hierarchical decision theoretic robotic,9,8,train
complexity optimal algorithm decentralized decision making,9,8,train
safe array region dependent type,6,5,train
cycle variability cycle,0,4,train
short presentation session effect growth tree,0,4,train
financial market openness monetary,4,9,train
general model online analytical processing complex datum,2,1,train
framework group decision support system combine tool technique,9,8,train
simulation network review tool strategy,3,3,train
soil management identify soil property influence cotton yield soil sampling direct soil electrical conductivity,0,4,train
automatic correction uniform transmission electron microscopy image,6,5,train
poster step preparation highly metal support catalyst fluidized bed carbon nanotube synthesis,7,7,train
joint estimation correction geometric distortion,8,6,train
financial flexibility investment decision evidence low leverage firm,4,9,train
simulation probabilistic structural,6,5,train
variational method relativistic quantum mechanic,8,6,train
policy response volatile crude oil price dependency,7,7,train
